number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
73,1138.2503816046003,0.0010210515414796738,0.6146943458328824,rmse,0.04448381013028704,0.029951229028682153,16,245,0.9981352857215446,COMPLETE
74,1136.586861077082,0.002082763575376443,0.575536634856323,rmse,0.019971919534397347,0.02221156917118363,17,236,0.9773100573146454,COMPLETE
75,1144.938347810861,0.002185127238638319,0.584707362284334,rmse,0.02095849633386423,0.04708477657339492,20,280,0.9816537928659452,COMPLETE
76,1136.5966021661425,0.0015538469367790612,0.575385386631476,rmse,0.016184192908656206,0.02208035934606199,19,233,0.9670226523834409,COMPLETE
77,1136.822830794562,0.0014812143639479473,0.561999435360542,rmse,0.01407926748097643,0.02168814435230134,19,231,0.9610163616864107,COMPLETE
78,1153.8793423272216,0.001485188793951653,0.5589994746021492,rmse,0.014564493970460524,0.05659829686968021,21,239,0.9572761039319235,COMPLETE
79,1136.6662638518217,4.732412397708178,0.5155574460809047,rmse,0.006708080571450363,0.022819194032236378,18,249,0.976005307063774,COMPLETE
80,1140.5249678664188,1.6882124545040795,0.5021003641951913,rmse,0.007565344651039348,0.03752163289619045,17,251,0.9780808646877438,COMPLETE
81,1139.4679382781987,0.0012390084709800239,0.5497977830435132,rmse,0.01133561467762767,0.031062092959121764,19,233,0.9636035752506072,COMPLETE
82,1136.4258299638127,6.635368576338331,0.5684309514115689,rmse,0.026916747846951153,0.022614628694704417,18,219,0.9998246890461422,COMPLETE
83,1135.543722193939,7.442479387374051,0.44365585946726227,rmse,0.007952184670760025,0.02348412830945103,17,215,0.9974062580073212,COMPLETE
84,1136.67551225209,5.999669244605529,0.43813979341839937,rmse,0.003894964744020674,0.025183917125551406,18,219,0.999440041387129,COMPLETE
85,1139.9232443089738,5.797380099289019,0.5787059372040855,rmse,0.00801110134844326,0.03369637625615977,19,280,0.9807265494299787,COMPLETE
