number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
52,1169.928526464707,0.0023069360887966496,0.4683023358530314,rmse,0.05152701533716238,0.009033745978990067,20,85,0.94108658143587,COMPLETE
53,1170.259599345508,0.0020476379178447296,0.4685270005872182,rmse,0.019236328520616717,0.008302056127248833,23,87,0.8984020326675711,COMPLETE
54,1172.4831189642423,0.0010780623429344277,0.46766186391674747,rmse,0.03347905585550727,0.005422137394647126,23,59,0.8872664437472663,COMPLETE
55,1171.4349480119467,0.001975262472075683,0.5504971584130154,rmse,0.018307998872144075,0.008904678022012055,24,100,0.995970773998454,COMPLETE
56,1170.5872791383345,0.0019022684798849472,0.4360615804659238,rmse,0.009752812102657124,0.007587181725266891,21,84,0.965616120077139,COMPLETE
57,1170.8699682976396,0.0023905098240521116,0.521293990158123,rmse,0.0046337585478012635,0.007435516546558636,22,81,0.9674877460106257,COMPLETE
58,1224.83057325398,0.0013878462706188419,0.5756308483488665,rmse,0.00997894545845015,0.006382747756258341,5,116,0.9539262080576059,COMPLETE
59,1176.5175272486492,0.0075321742808743385,0.4349524277465739,rmse,0.03789584651916041,0.0032535147594930296,24,89,0.9064583728924865,COMPLETE
60,1175.7108857559317,0.0032169189773708826,0.6464108904341932,rmse,0.008795165366307017,0.013590608904423445,21,42,0.9360038153502361,COMPLETE
61,1170.5658343920475,0.0016170143180437781,0.48477952918708134,rmse,0.002011841302253994,0.008659804603093214,23,62,0.7919993455531348,COMPLETE
62,1170.4851912040244,0.0016577690856427012,0.47833145862044807,rmse,0.0019125961286211057,0.008362837523767932,25,67,0.8445449996567095,COMPLETE
63,1171.0657337481607,0.0014160873354146367,0.4802325023211297,rmse,0.0016998783278953373,0.010254293704089366,25,65,0.796631244711685,COMPLETE
64,1173.3967803196472,0.0010075330638038324,0.5931702906221151,rmse,0.00260374942237438,0.005090166604855208,23,46,0.851300684211298,COMPLETE
65,1170.918902009995,0.0024676119846975776,0.4959573976486718,rmse,0.001268273492480668,0.008573295056084658,24,68,0.5949295844557617,COMPLETE
66,1174.3641375976863,0.001593445906040774,0.5436565644644222,rmse,0.0020141741506360025,0.006014417594027755,25,29,0.8388414516434346,COMPLETE
67,1404.889674739686,0.0033963306211963057,0.46162601129506203,rmse,0.0532063776015834,0.0010101807409508357,23,112,0.7715884313011865,COMPLETE
68,1247.4192528528094,0.006837525110455186,0.5108960360610263,rmse,0.0038789852707195246,0.09657571996208182,22,96,0.8374035625405528,COMPLETE
69,1172.9469616798526,0.0023886731081958026,0.43244684399973565,rmse,0.077071495104911,0.012934866671118851,24,51,0.8760534949299674,COMPLETE
70,1170.564954176703,4.407514376922972,0.36563624724134786,rmse,0.13410309583277663,0.009856696195311416,22,74,0.8011854988141295,COMPLETE
71,1171.527768836968,1.2034771322314588,0.3598931659772842,rmse,0.17750182289784164,0.015100141514949532,21,75,0.9025330364164479,COMPLETE
