number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
76,0.9771833333333333,0.005030003414146361,0.637454927779463,logloss,0.0010124252137624125,0.07550958841379678,11,36,0.9289837601284798,gpu_hist,COMPLETE
77,0.9782833333333333,0.012807025003789252,0.8025103639752675,logloss,0.0026835635483644163,0.09133779766279738,7,10,0.9610981392656439,gpu_hist,COMPLETE
78,0.9753166666666667,0.007861941822675115,0.800992677905918,logloss,0.002078528633119155,0.08837641305556593,15,137,0.8611723716143199,gpu_hist,COMPLETE
79,0.97365,0.026570128628581692,0.7834032336452298,logloss,0.00621244449474722,0.09386694740961372,17,250,0.8810874802812054,gpu_hist,COMPLETE
80,0.9768333333333333,0.060487943640855364,0.44751843814152736,logloss,0.002695240645849319,0.0729088093538118,7,107,0.9839059552725595,gpu_hist,COMPLETE
81,0.9785833333333334,0.011384956861555922,0.5923225075010982,logloss,0.0029086877045171656,0.05123611371267611,7,8,0.9611238949075123,gpu_hist,COMPLETE
82,0.9779333333333333,0.003284942729256717,0.6860822291146015,logloss,0.008178806714373725,0.04841944116472717,7,19,0.9453725819093278,gpu_hist,COMPLETE
83,0.9786333333333334,0.16952254684891968,0.5888272046533107,logloss,0.001612389380758419,0.08245945021918516,7,7,0.9586747546479798,gpu_hist,COMPLETE
84,0.9779333333333333,0.1639166505356176,0.5865915453079364,logloss,0.0014714496344302999,0.0798926324898676,7,28,0.986445811325388,gpu_hist,COMPLETE
85,0.9786833333333333,0.2986530587354901,0.506447990062942,logloss,0.001966925368785752,0.040713328619201405,5,2,0.9149109151192878,gpu_hist,COMPLETE
86,0.9779,0.32277482877710767,0.5078009798365938,logloss,0.001794215530263149,0.034154256946777935,5,1,0.9126483979410629,gpu_hist,COMPLETE
87,0.9788666666666667,0.5148488897539557,0.46326657172080443,logloss,0.003423076828917205,0.06821750767882526,5,17,0.9210454135751015,gpu_hist,COMPLETE
88,0.97835,0.5768261235138628,0.4744153391420486,logloss,0.0012211908985559608,0.06768456498148027,5,20,0.47063123052481937,gpu_hist,COMPLETE
89,0.9748,0.21318647171730176,0.40355884089971594,logloss,0.0021275076871698634,0.028558353602598372,5,53,0.8914723549613449,gpu_hist,COMPLETE
90,0.9773166666666666,0.43386768002126125,0.31677539723035747,logloss,0.012606040351456611,0.09993479258804884,5,64,0.9223091482014407,gpu_hist,COMPLETE
91,0.9779166666666667,0.6387068714614877,0.4576152240873765,logloss,0.0011502625687360814,0.07061022211329944,5,20,0.4544994560603867,gpu_hist,COMPLETE
92,0.9780166666666666,0.4846553287442549,0.4643290355070657,logloss,0.0033463640736576226,0.05041486062525125,5,27,0.8453908629774236,gpu_hist,COMPLETE
93,0.9783833333333334,1.2892600956978701,0.5486085106732308,logloss,0.001549903587829671,0.03954702426395835,5,2,0.48115820350743116,gpu_hist,COMPLETE
94,0.97835,0.2802112350099998,0.519055620593936,logloss,0.0017291996805321162,0.039089754338049135,5,6,0.5989041215851025,gpu_hist,COMPLETE
95,0.9522333333333334,1.1689247419319755,0.5437559740366069,logloss,0.002314399039686405,0.005670505648003437,5,1,0.6703066098548199,gpu_hist,COMPLETE
96,0.9759,9.226709472277498,0.5008035013303985,logloss,0.0014764942933551918,0.06030564824016947,13,37,0.5116167298349159,gpu_hist,COMPLETE
97,0.96045,2.2492209802538192,0.5552641334224303,logloss,0.0036854289771391315,0.0012666294983310102,11,16,0.9643507595992776,gpu_hist,COMPLETE
98,0.96705,0.1664722520874224,0.6015778988540389,logloss,0.0010249308447941366,0.038972696168235565,3,6,0.5734920719439839,gpu_hist,COMPLETE
99,0.97675,1.5478921246040687,0.5794294930825857,logloss,0.027189044110227708,0.03333236012250192,5,25,0.8223432496852017,gpu_hist,COMPLETE
100,0.979,0.11598578989214814,0.538183862345978,logloss,0.0023936788793504737,0.07887670274293322,5,14,0.7176935819943834,gpu_hist,COMPLETE
101,0.9783666666666667,0.10133762180003696,0.5325860361490617,logloss,0.005022536714570672,0.08001515569042969,5,16,0.6380952928896669,gpu_hist,COMPLETE
102,0.97905,0.33735515324871784,0.5463523801286772,logloss,0.0024257988947360217,0.05710172194639196,5,7,0.7068805026015781,gpu_hist,COMPLETE
103,0.9739333333333333,0.33682769513647687,0.5705537624693767,logloss,0.0024916299089960646,0.056792314134463354,5,173,0.7291699675610478,gpu_hist,COMPLETE
104,0.97805,0.11144317577844015,0.500387921873543,logloss,0.0020420892010088476,0.06435125913763844,5,33,0.6718611620862801,gpu_hist,COMPLETE
105,0.9767166666666667,0.8447762796390405,0.5281447766832754,logloss,0.008271838451099403,0.04899906125642671,17,8,0.9378703857736271,gpu_hist,COMPLETE
106,0.9773166666666666,0.23694471801358186,0.40252100468601165,logloss,0.0031676626906228336,0.08358374012630258,15,14,0.8739317498225568,gpu_hist,COMPLETE
107,0.97765,0.14113853080019823,0.5957337984954705,logloss,0.004215676582633376,0.06837530805881085,7,41,0.9898177396603489,gpu_hist,COMPLETE
108,0.9778166666666667,0.29031042710619376,0.7308309959706789,logloss,0.007025856702591793,0.04596617634735349,7,7,0.9024350483979245,gpu_hist,COMPLETE
109,0.9768,0.18899477787521218,0.6564950126245458,logloss,0.0018487518929058676,0.0743837733040551,13,23,0.8113791710944601,gpu_hist,COMPLETE
