number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
26,0.9088833333333334,0.0026141803941764174,0.891655638706007,logloss,0.005595903491483491,0.09912032491586584,7,20,0.9061496862902353,gpu_hist,COMPLETE
27,0.9051,0.002682048510237891,0.8195760711026612,logloss,0.02601548033155278,0.05100114846725259,7,47,0.9341214390843889,gpu_hist,COMPLETE
28,0.9027166666666666,0.0011049506812340112,0.8907455453120341,logloss,0.0075841653791977786,0.06603556299880102,7,76,0.9049714354915628,gpu_hist,COMPLETE
29,0.9079,0.0024871999059746784,0.7246947325580292,logloss,0.22628512205869553,0.09535172923415619,15,18,0.9939734789536707,gpu_hist,COMPLETE
30,0.8999166666666667,0.0023504328345439803,0.7191041467886786,logloss,0.29029437558147064,0.03499175150435974,15,107,0.9829306914762147,gpu_hist,COMPLETE
31,0.90825,0.008245929314617885,0.6119518535778811,logloss,0.06360542889936442,0.09774998300921234,15,14,0.9648441050643431,gpu_hist,COMPLETE
32,0.9077333333333333,0.003717244095651631,0.6131934155646256,logloss,0.0734001358707032,0.06674068702929731,15,20,0.9609225517141072,gpu_hist,COMPLETE
33,0.9090333333333334,0.008480505341627495,0.5548345963982277,logloss,0.8777221216992557,0.07481312176497036,15,13,0.8962906692251233,gpu_hist,COMPLETE
34,0.9061333333333333,0.006774808414709937,0.5284867126720504,logloss,2.6447089429801958,0.07495110643800022,15,49,0.8935359093447834,gpu_hist,COMPLETE
35,0.8695833333333334,0.04326198493589827,0.5244131963615871,logloss,0.6110859207186577,0.0492444039575973,17,253,0.4017235760708226,gpu_hist,COMPLETE
36,0.9090166666666667,0.011420774408941427,0.5487088527136017,logloss,1.7654014593372507,0.07860147748934529,5,11,0.722968796580801,gpu_hist,COMPLETE
37,0.9022333333333333,0.09302540787702535,0.365684139329565,logloss,2.4789029160608296,0.04317523741977904,5,42,0.7292188652836753,gpu_hist,COMPLETE
38,0.9026833333333333,0.004470515578588389,0.5095714350675682,logloss,7.9318173395192435,0.07374580984537721,5,70,0.7737974011086446,gpu_hist,COMPLETE
39,0.8696833333333334,0.012901907747826269,0.5646600558295147,logloss,1.5151153640228097,0.028203583523743924,3,276,0.6480594264272648,gpu_hist,COMPLETE
40,0.8898333333333334,0.009625018508112822,0.38737188703290504,logloss,0.4994967359962043,0.05293739272171345,9,197,0.7128351447169543,gpu_hist,COMPLETE
41,0.9104166666666667,0.007437095848602173,0.5936499341100359,logloss,4.149355777946229,0.07985218543589395,7,8,0.9050748199651784,gpu_hist,COMPLETE
42,0.9094333333333333,0.0016866855968231671,0.42850953238038775,logloss,3.242647216721308,0.07789713800571407,7,12,0.9247055203309544,gpu_hist,COMPLETE
43,0.9075166666666666,0.001964221851628145,0.43019563076434103,logloss,3.884933627551895,0.07852385863451035,7,33,0.9094755270978672,gpu_hist,COMPLETE
44,0.9079166666666667,0.004131803267561724,0.48542834135203966,logloss,1.348057003974306,0.04050529553196025,7,13,0.9287038336178539,gpu_hist,COMPLETE
45,0.90575,0.0014886336319843143,0.4128722980269364,logloss,4.311023492568444,0.05437425989342766,7,39,0.7929172314314381,gpu_hist,COMPLETE
46,0.91095,0.0036841880149622863,0.5607462299717448,logloss,0.8717869987614283,0.0755713022642854,7,3,0.8695485434133218,gpu_hist,COMPLETE
47,0.84495,0.006544392579040868,0.3168199438673802,logloss,0.8601238887278618,0.0010075801029301216,5,1,0.8666255293578946,gpu_hist,COMPLETE
48,0.9059833333333334,0.003460566684537136,0.5736576775250168,logloss,2.7371526314658805,0.07539875864586794,7,44,0.8054684579355681,gpu_hist,COMPLETE
49,0.8757,0.025104987859638814,0.6429598275392939,logloss,9.579981200809746,0.005094828375838733,17,87,0.9371184564291483,gpu_hist,COMPLETE
50,0.9072,0.004697310378493087,0.5381047599404598,logloss,1.9859505954039158,0.03247465957233857,13,11,0.7464411266691686,gpu_hist,COMPLETE
51,0.9104,0.0014983013407271848,0.48990480329393726,logloss,5.427240861834663,0.07952960030319857,7,1,0.8691982736480125,gpu_hist,COMPLETE
52,0.9094833333333333,0.0014820144955808114,0.4644391586107274,logloss,4.93015324945757,0.0436245900686064,7,5,0.8845760545900662,gpu_hist,COMPLETE
53,0.909,0.0013819889736804189,0.4801160259800949,logloss,5.213398688638375,0.04674828965136733,7,5,0.8821549261548172,gpu_hist,COMPLETE
54,0.90705,0.0015913217249090947,0.4551464109465675,logloss,1.0240626986558972,0.06349673727178509,7,33,0.8467063164439833,gpu_hist,COMPLETE
55,0.8995333333333333,0.0010205154631465635,0.5035681653711782,logloss,5.679056296143077,0.021860745313825064,7,54,0.9601804165439659,gpu_hist,COMPLETE
56,0.908,1.8725897937510267,0.39985405711628985,logloss,3.4358867507961106,0.05710390826322535,7,20,0.9094002613529508,gpu_hist,COMPLETE
57,0.9102166666666667,0.0031456257596193943,0.5855219471524903,logloss,0.37529077201165445,0.08249090165407606,9,1,0.8533794360999534,gpu_hist,COMPLETE
